Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status,Loan_Status_NUM,Total_Income,LoanAmount_Log,Total_Income_Log,Loan_to_Income_Ratio
LP001002,Male,No,0,Graduate,No,5849,0.0,128.0,360.0,1.0,Urban,Y,1,5849.0,4.852030263919617,8.674025985443025,0.021884082749187895
LP001003,Male,Yes,1,Graduate,No,4583,1508.0,128.0,360.0,1.0,Rural,N,0,6091.0,4.852030263919617,8.714567550836485,0.0210146117222131
LP001005,Male,Yes,0,Graduate,Yes,3000,0.0,66.0,360.0,1.0,Urban,Y,1,3000.0,4.189654742026425,8.006367567650246,0.022
LP001006,Male,Yes,0,Not Graduate,No,2583,2358.0,120.0,360.0,1.0,Urban,Y,1,4941.0,4.787491742782046,8.50532301884575,0.024286581663630843
LP001008,Male,No,0,Graduate,No,6000,0.0,141.0,360.0,1.0,Urban,Y,1,6000.0,4.948759890378168,8.699514748210191,0.0235
LP001011,Male,Yes,2,Graduate,Yes,5417,4196.0,267.0,360.0,1.0,Urban,Y,1,9613.0,5.58724865840025,9.170871628065816,0.027774888172266723
LP001013,Male,Yes,0,Not Graduate,No,2333,1516.0,95.0,360.0,1.0,Urban,Y,1,3849.0,4.553876891600541,8.255568653283746,0.024681735515718367
LP001014,Male,Yes,3+,Graduate,No,3036,2504.0,158.0,360.0,0.0,Semiurban,N,0,5540.0,5.062595033026967,8.61974977974133,0.02851985559566787
LP001018,Male,Yes,2,Graduate,No,4006,1526.0,168.0,360.0,1.0,Urban,Y,1,5532.0,5.123963979403259,8.61830469278465,0.03036876355748373
LP001020,Male,Yes,1,Graduate,No,12841,10968.0,349.0,360.0,1.0,Semiurban,N,0,23809.0,5.855071922202427,10.077818939438902,0.014658322483094628
LP001024,Male,Yes,2,Graduate,No,3200,700.0,70.0,360.0,1.0,Urban,Y,1,3900.0,4.248495242049359,8.268731832117737,0.017948717948717947
LP001027,Male,Yes,2,Graduate,No,2500,1840.0,109.0,360.0,1.0,Urban,Y,1,4340.0,4.6913478822291435,8.375629627094451,0.02511520737327189
LP001028,Male,Yes,2,Graduate,No,3073,8106.0,200.0,360.0,1.0,Urban,Y,1,11179.0,5.298317366548036,9.321792297270326,0.01789068789694964
LP001029,Male,No,0,Graduate,No,1853,2840.0,114.0,360.0,1.0,Rural,N,0,4693.0,4.736198448394496,8.453827315794417,0.024291497975708502
LP001030,Male,Yes,2,Graduate,No,1299,1086.0,17.0,120.0,1.0,Urban,Y,1,2385.0,2.833213344056216,7.776954403322442,0.007127882599580713
LP001032,Male,No,0,Graduate,No,4950,0.0,125.0,360.0,1.0,Urban,Y,1,4950.0,4.8283137373023015,8.507142855562735,0.025252525252525252
LP001034,Male,No,1,Not Graduate,No,3596,0.0,100.0,240.0,1.0,Urban,Y,1,3596.0,4.605170185988092,8.18757739559151,0.027808676307007785
LP001036,Female,No,0,Graduate,No,3510,0.0,76.0,360.0,0.0,Urban,N,0,3510.0,4.330733340286331,8.163371316459912,0.021652421652421653
LP001038,Male,Yes,0,Not Graduate,No,4887,0.0,133.0,360.0,1.0,Rural,N,0,4887.0,4.890349128221754,8.494333897270154,0.027215060364231634
LP001041,Male,Yes,0,Graduate,No,2600,3500.0,115.0,360.0,1.0,Urban,Y,1,6100.0,4.74493212836325,8.716044050161402,0.018852459016393444
LP001043,Male,Yes,0,Not Graduate,No,7660,0.0,104.0,360.0,0.0,Urban,N,0,7660.0,4.6443908991413725,8.943767262734637,0.013577023498694517
LP001046,Male,Yes,1,Graduate,No,5955,5625.0,315.0,360.0,1.0,Urban,Y,1,11580.0,5.752572638825633,9.357034751126987,0.027202072538860103
LP001047,Male,Yes,0,Not Graduate,No,2600,1911.0,116.0,360.0,0.0,Semiurban,N,0,4511.0,4.7535901911063645,8.414274137408396,0.025714919086677012
LP001050,Male,Yes,2,Not Graduate,No,3365,1917.0,112.0,360.0,0.0,Rural,N,0,5282.0,4.718498871295094,8.572060092857077,0.021204089360090876
LP001052,Male,Yes,1,Graduate,No,3717,2925.0,151.0,360.0,1.0,Semiurban,N,0,6642.0,5.017279836814924,8.801168401936692,0.02273411623005119
LP001066,Male,Yes,0,Graduate,Yes,9560,0.0,191.0,360.0,1.0,Semiurban,Y,1,9560.0,5.25227342804663,9.165343006045447,0.01997907949790795
LP001068,Male,Yes,0,Graduate,No,2799,2253.0,122.0,360.0,1.0,Semiurban,Y,1,5052.0,4.804021044733257,8.527539483470381,0.02414885193982581
LP001073,Male,Yes,2,Not Graduate,No,4226,1040.0,110.0,360.0,1.0,Urban,Y,1,5266.0,4.700480365792417,8.569026340056254,0.020888720091150777
LP001086,Male,No,0,Not Graduate,No,1442,0.0,35.0,360.0,1.0,Urban,N,0,1442.0,3.5553480614894135,7.273786317844895,0.024271844660194174
LP001087,Female,No,2,Graduate,No,3750,2083.0,120.0,360.0,1.0,Semiurban,Y,1,5833.0,4.787491742782046,8.671286726753637,0.020572604148808505
LP001091,Male,Yes,1,Graduate,No,4166,3369.0,201.0,360.0,1.0,Urban,N,0,7535.0,5.303304908059076,8.927314111060596,0.026675514266755143
LP001095,Male,No,0,Graduate,No,3167,0.0,74.0,360.0,1.0,Urban,N,0,3167.0,4.30406509320417,8.06054004653864,0.023365961477739186
LP001097,Male,No,1,Graduate,Yes,4692,0.0,106.0,360.0,1.0,Rural,N,0,4692.0,4.663439094112067,8.453614209773367,0.022591645353793693
LP001098,Male,Yes,0,Graduate,No,3500,1667.0,114.0,360.0,1.0,Semiurban,Y,1,5167.0,4.736198448394496,8.550047528287184,0.022063092703696534
LP001100,Male,No,3+,Graduate,No,12500,3000.0,320.0,360.0,1.0,Rural,N,0,15500.0,5.768320995793772,9.648595302907339,0.02064516129032258
LP001106,Male,Yes,0,Graduate,No,2275,2067.0,128.0,360.0,1.0,Urban,Y,1,4342.0,4.852030263919617,8.376090350438238,0.02947950253339475
LP001109,Male,Yes,0,Graduate,No,1828,1330.0,100.0,360.0,0.0,Urban,N,0,3158.0,4.605170185988092,8.057694194815587,0.031665611146295125
LP001112,Female,Yes,0,Graduate,No,3667,1459.0,144.0,360.0,1.0,Semiurban,Y,1,5126.0,4.969813299576001,8.542080906924017,0.02809207959422552
LP001114,Male,No,0,Graduate,No,4166,7210.0,184.0,360.0,1.0,Urban,Y,1,11376.0,5.214935757608986,9.339261152043022,0.01617440225035162
LP001116,Male,No,0,Not Graduate,No,3748,1668.0,110.0,360.0,1.0,Semiurban,Y,1,5416.0,4.700480365792417,8.59711281459211,0.02031019202363368
LP001119,Male,No,0,Graduate,No,3600,0.0,80.0,360.0,1.0,Urban,N,0,3600.0,4.382026634673881,8.1886891244442,0.022222222222222223
LP001120,Male,No,0,Graduate,No,1800,1213.0,47.0,360.0,1.0,Urban,Y,1,3013.0,3.8501476017100584,8.0106915391303,0.015599070693660804
LP001123,Male,Yes,0,Graduate,No,2400,0.0,75.0,360.0,1.0,Urban,Y,1,2400.0,4.31748811353631,7.783224016336037,0.03125
LP001131,Male,Yes,0,Graduate,No,3941,2336.0,134.0,360.0,1.0,Semiurban,Y,1,6277.0,4.897839799950911,8.744647438317532,0.021347777600764697
LP001136,Male,Yes,0,Not Graduate,Yes,4695,0.0,96.0,360.0,1.0,Urban,Y,1,4695.0,4.564348191467836,8.454253391642363,0.020447284345047924
LP001137,Female,No,0,Graduate,No,3410,0.0,88.0,360.0,1.0,Urban,Y,1,3410.0,4.477336814478207,8.134467570277563,0.025806451612903226
LP001138,Male,Yes,1,Graduate,No,5649,0.0,44.0,360.0,1.0,Urban,Y,1,5649.0,3.784189633918261,8.639233817325263,0.007788989201628607
LP001144,Male,Yes,0,Graduate,No,5821,0.0,144.0,360.0,1.0,Urban,Y,1,5821.0,4.969813299576001,8.669227347271736,0.02473801752276241
LP001146,Female,Yes,0,Graduate,No,2645,3440.0,120.0,360.0,0.0,Urban,N,0,6085.0,4.787491742782046,8.713582005421628,0.01972062448644207
LP001151,Female,No,0,Graduate,No,4000,2275.0,144.0,360.0,1.0,Semiurban,Y,1,6275.0,4.969813299576001,8.744328763999984,0.022948207171314742
LP001155,Female,Yes,0,Not Graduate,No,1928,1644.0,100.0,360.0,1.0,Semiurban,Y,1,3572.0,4.605170185988092,8.18088094199639,0.027995520716685332
LP001157,Female,No,0,Graduate,No,3086,0.0,120.0,360.0,1.0,Semiurban,Y,1,3086.0,4.787491742782046,8.034631032923107,0.03888528839922229
LP001164,Female,No,0,Graduate,No,4230,0.0,112.0,360.0,1.0,Semiurban,N,0,4230.0,4.718498871295094,8.349957272040324,0.026477541371158392
LP001179,Male,Yes,2,Graduate,No,4616,0.0,134.0,360.0,1.0,Urban,N,0,4616.0,4.897839799950911,8.437283808187935,0.02902946273830156
LP001186,Female,Yes,1,Graduate,Yes,11500,0.0,286.0,360.0,0.0,Urban,N,0,11500.0,5.655991810819852,9.350102314351341,0.024869565217391306
LP001194,Male,Yes,2,Graduate,No,2708,1167.0,97.0,360.0,1.0,Semiurban,Y,1,3875.0,4.574710978503383,8.262300941787448,0.02503225806451613
LP001195,Male,Yes,0,Graduate,No,2132,1591.0,96.0,360.0,1.0,Semiurban,Y,1,3723.0,4.564348191467836,8.222285073872717,0.0257856567284448
LP001197,Male,Yes,0,Graduate,No,3366,2200.0,135.0,360.0,1.0,Rural,N,0,5566.0,4.90527477843843,8.624431942085836,0.024254401724757457
LP001198,Male,Yes,1,Graduate,No,8080,2250.0,180.0,360.0,1.0,Urban,Y,1,10330.0,5.19295685089021,9.242807562113684,0.017424975798644726
LP001199,Male,Yes,2,Not Graduate,No,3357,2859.0,144.0,360.0,1.0,Urban,Y,1,6216.0,4.969813299576001,8.734881892047483,0.023166023166023165
LP001205,Male,Yes,0,Graduate,No,2500,3796.0,120.0,360.0,1.0,Urban,Y,1,6296.0,4.787491742782046,8.74766979009724,0.01905972045743329
LP001206,Male,Yes,3+,Graduate,No,3029,0.0,99.0,360.0,1.0,Urban,Y,1,3029.0,4.59511985013459,8.015987811027237,0.03268405414328161
LP001207,Male,Yes,0,Not Graduate,Yes,2609,3449.0,165.0,180.0,0.0,Rural,N,0,6058.0,5.10594547390058,8.709134991587183,0.02723671178606801
LP001213,Male,Yes,1,Graduate,No,4945,0.0,128.0,360.0,0.0,Rural,N,0,4945.0,4.852030263919617,8.506132244056813,0.025884732052578362
LP001222,Female,No,0,Graduate,No,4166,0.0,116.0,360.0,0.0,Semiurban,N,0,4166.0,4.7535901911063645,8.334711621820917,0.02784445511281805
LP001225,Male,Yes,0,Graduate,No,5726,4595.0,258.0,360.0,1.0,Semiurban,N,0,10321.0,5.552959584921617,9.241935933565934,0.024997577754093597
LP001228,Male,No,0,Not Graduate,No,3200,2254.0,126.0,180.0,0.0,Urban,N,0,5454.0,4.836281906951478,8.604104563405533,0.0231023102310231
LP001233,Male,Yes,1,Graduate,No,10750,0.0,312.0,360.0,1.0,Urban,Y,1,10750.0,5.7430031878094825,9.28266103355581,0.02902325581395349
LP001238,Male,Yes,3+,Not Graduate,Yes,7100,0.0,125.0,60.0,1.0,Urban,Y,1,7100.0,4.8283137373023015,8.867850063029406,0.017605633802816902
LP001241,Female,No,0,Graduate,No,4300,0.0,136.0,360.0,0.0,Semiurban,N,0,4300.0,4.912654885736052,8.366370301681654,0.03162790697674418
LP001243,Male,Yes,0,Graduate,No,3208,3066.0,172.0,360.0,1.0,Urban,Y,1,6274.0,5.147494476813453,8.744169388750624,0.027414727446605038
LP001245,Male,Yes,2,Not Graduate,Yes,1875,1875.0,97.0,360.0,1.0,Semiurban,Y,1,3750.0,4.574710978503383,8.229511118964457,0.025866666666666666
LP001248,Male,No,0,Graduate,No,3500,0.0,81.0,300.0,1.0,Semiurban,Y,1,3500.0,4.394449154672439,8.160518247477505,0.023142857142857142
LP001250,Male,Yes,3+,Not Graduate,No,4755,0.0,95.0,360.0,0.0,Semiurban,N,0,4755.0,4.553876891600541,8.46695197497949,0.019978969505783387
LP001253,Male,Yes,3+,Graduate,Yes,5266,1774.0,187.0,360.0,1.0,Semiurban,Y,1,7040.0,5.231108616854587,8.859363449152088,0.0265625
LP001255,Male,No,0,Graduate,No,3750,0.0,113.0,480.0,1.0,Urban,N,0,3750.0,4.727387818712341,8.229511118964457,0.030133333333333335
LP001256,Male,No,0,Graduate,No,3750,4750.0,176.0,360.0,1.0,Urban,N,0,8500.0,5.170483995038151,9.047821442478408,0.020705882352941178
LP001259,Male,Yes,1,Graduate,Yes,1000,3022.0,110.0,360.0,1.0,Urban,N,0,4022.0,4.700480365792417,8.299534570332597,0.02734957732471407
LP001263,Male,Yes,3+,Graduate,No,3167,4000.0,180.0,300.0,0.0,Semiurban,N,0,7167.0,5.19295685089021,8.877242435993919,0.025115110925073254
LP001264,Male,Yes,3+,Not Graduate,Yes,3333,2166.0,130.0,360.0,1.0,Semiurban,Y,1,5499.0,4.867534450455582,8.612321536507814,0.02364066193853428
LP001265,Female,No,0,Graduate,No,3846,0.0,111.0,360.0,1.0,Semiurban,Y,1,3846.0,4.709530201312334,8.254788926148725,0.028861154446177848
LP001266,Male,Yes,1,Graduate,Yes,2395,0.0,128.0,360.0,1.0,Semiurban,Y,1,2395.0,4.852030263919617,7.781138509845015,0.05344467640918581
LP001267,Female,Yes,2,Graduate,No,1378,1881.0,167.0,360.0,1.0,Urban,N,0,3259.0,5.117993812416755,8.089175678837561,0.0512427124884934
LP001273,Male,Yes,0,Graduate,No,6000,2250.0,265.0,360.0,1.0,Semiurban,N,0,8250.0,5.579729825986222,9.017968479328726,0.03212121212121212
LP001275,Male,Yes,1,Graduate,No,3988,0.0,50.0,240.0,1.0,Urban,Y,1,3988.0,3.912023005428146,8.291045131081729,0.012537612838515547
LP001279,Male,No,0,Graduate,No,2366,2531.0,136.0,360.0,1.0,Semiurban,Y,1,4897.0,4.912654885736052,8.496378051702317,0.027772105370635083
LP001280,Male,Yes,2,Not Graduate,No,3333,2000.0,99.0,360.0,1.0,Semiurban,Y,1,5333.0,4.59511985013459,8.581669210600602,0.0185636602287643
LP001282,Male,Yes,0,Graduate,No,2500,2118.0,104.0,360.0,1.0,Semiurban,Y,1,4618.0,4.6443908991413725,8.43771698991444,0.02252057167605024
LP001289,Male,No,0,Graduate,No,8566,0.0,210.0,360.0,1.0,Urban,Y,1,8566.0,5.3471075307174685,9.055556158175316,0.02451552650011674
LP001310,Male,Yes,0,Graduate,No,5695,4167.0,175.0,360.0,1.0,Semiurban,Y,1,9862.0,5.1647859739235145,9.196444266784072,0.017744879334820524
LP001316,Male,Yes,0,Graduate,No,2958,2900.0,131.0,360.0,1.0,Semiurban,Y,1,5858.0,4.875197323201151,8.675563527387679,0.022362581085694777
LP001318,Male,Yes,2,Graduate,No,6250,5654.0,188.0,180.0,1.0,Semiurban,Y,1,11904.0,5.236441962829949,9.384629757072872,0.015793010752688172
LP001319,Male,Yes,2,Not Graduate,No,3273,1820.0,81.0,360.0,1.0,Urban,Y,1,5093.0,4.394449154672439,8.535622326884605,0.015904182210877676
LP001322,Male,No,0,Graduate,No,4133,0.0,122.0,360.0,1.0,Semiurban,Y,1,4133.0,4.804021044733257,8.326758814511733,0.029518509557222357
LP001325,Male,No,0,Not Graduate,No,3620,0.0,25.0,120.0,1.0,Semiurban,Y,1,3620.0,3.2188758248682006,8.194229304819817,0.006906077348066298
LP001326,Male,No,0,Graduate,No,6782,0.0,128.0,360.0,1.0,Urban,N,0,6782.0,4.852030263919617,8.822027322685583,0.018873488646416987
LP001327,Female,Yes,0,Graduate,No,2484,2302.0,137.0,360.0,1.0,Semiurban,Y,1,4786.0,4.919980925828125,8.47345026846832,0.028625156707062265
LP001333,Male,Yes,0,Graduate,No,1977,997.0,50.0,360.0,1.0,Semiurban,Y,1,2974.0,3.912023005428146,7.9976631270201,0.016812373907195696
LP001334,Male,Yes,0,Not Graduate,No,4188,0.0,115.0,180.0,1.0,Semiurban,Y,1,4188.0,4.74493212836325,8.339978571990427,0.027459407831900668
LP001343,Male,Yes,0,Graduate,No,1759,3541.0,131.0,360.0,1.0,Semiurban,Y,1,5300.0,4.875197323201151,8.575462099540212,0.02471698113207547
LP001345,Male,Yes,2,Not Graduate,No,4288,3263.0,133.0,180.0,1.0,Urban,Y,1,7551.0,4.890349128221754,8.929435283803425,0.01761356111773275
LP001349,Male,No,0,Graduate,No,4843,3806.0,151.0,360.0,1.0,Semiurban,Y,1,8649.0,5.017279836814924,9.065198986306513,0.017458665741704245
LP001350,Male,Yes,0,Graduate,No,13650,0.0,128.0,360.0,1.0,Urban,Y,1,13650.0,4.852030263919617,9.521494800613105,0.009377289377289377
LP001356,Male,Yes,0,Graduate,No,4652,3583.0,128.0,360.0,1.0,Semiurban,Y,1,8235.0,4.852030263919617,9.016148642611741,0.01554341226472374
LP001357,Male,Yes,0,Graduate,No,3816,754.0,160.0,360.0,1.0,Urban,Y,1,4570.0,5.075173815233827,8.42726848388825,0.0350109409190372
LP001367,Male,Yes,1,Graduate,No,3052,1030.0,100.0,360.0,1.0,Urban,Y,1,4082.0,4.605170185988092,8.31434234336979,0.02449779519843214
LP001369,Male,Yes,2,Graduate,No,11417,1126.0,225.0,360.0,1.0,Urban,Y,1,12543.0,5.41610040220442,9.436918020024674,0.01793829227457546
LP001370,Male,No,0,Not Graduate,No,7333,0.0,120.0,360.0,1.0,Rural,N,0,7333.0,4.787491742782046,8.9001399880938,0.01636438019909996
LP001379,Male,Yes,2,Graduate,No,3800,3600.0,216.0,360.0,0.0,Urban,N,0,7400.0,5.375278407684165,8.909235279192261,0.02918918918918919
LP001384,Male,Yes,3+,Not Graduate,No,2071,754.0,94.0,480.0,1.0,Semiurban,Y,1,2825.0,4.543294782270004,7.946263643580541,0.03327433628318584
LP001385,Male,No,0,Graduate,No,5316,0.0,136.0,360.0,1.0,Urban,Y,1,5316.0,4.912654885736052,8.578476419833136,0.025583145221971408
LP001387,Female,Yes,0,Graduate,No,2929,2333.0,139.0,360.0,1.0,Semiurban,Y,1,5262.0,4.9344739331306915,8.568266461600238,0.026415811478525276
LP001391,Male,Yes,0,Not Graduate,No,3572,4114.0,152.0,360.0,0.0,Rural,N,0,7686.0,5.0238805208462765,8.94715577112479,0.019776216497527973
LP001392,Female,No,1,Graduate,Yes,7451,0.0,128.0,360.0,1.0,Semiurban,Y,1,7451.0,4.852030263919617,8.916103530553727,0.01717890216078379
LP001398,Male,No,0,Graduate,No,5050,0.0,118.0,360.0,1.0,Semiurban,Y,1,5050.0,4.770684624465665,8.527143522269405,0.023366336633663366
LP001401,Male,Yes,1,Graduate,No,14583,0.0,185.0,180.0,1.0,Rural,Y,1,14583.0,5.220355825078324,9.587611745713565,0.012686004251525749
LP001404,Female,Yes,0,Graduate,No,3167,2283.0,154.0,360.0,1.0,Semiurban,Y,1,5450.0,5.0369526024136295,8.60337088765729,0.028256880733944955
LP001405,Male,Yes,1,Graduate,No,2214,1398.0,85.0,360.0,1.0,Urban,Y,1,3612.0,4.442651256490317,8.192016914536875,0.02353266888150609
LP001421,Male,Yes,0,Graduate,No,5568,2142.0,175.0,360.0,1.0,Rural,N,0,7710.0,5.1647859739235145,8.950273466557375,0.022697795071335927
LP001422,Female,No,0,Graduate,No,10408,0.0,259.0,360.0,1.0,Urban,Y,1,10408.0,5.556828061699537,9.250330020192342,0.024884704073789392
LP001426,Male,Yes,0,Graduate,No,5667,2667.0,180.0,360.0,1.0,Rural,Y,1,8334.0,5.19295685089021,9.0280988119824,0.02159827213822894
LP001430,Female,No,0,Graduate,No,4166,0.0,44.0,360.0,1.0,Semiurban,Y,1,4166.0,3.784189633918261,8.334711621820917,0.01056168987037926
LP001431,Female,No,0,Graduate,No,2137,8980.0,137.0,360.0,0.0,Semiurban,Y,1,11117.0,4.919980925828125,9.316230747233615,0.01232346856166232
LP001432,Male,Yes,2,Graduate,No,2957,0.0,81.0,360.0,1.0,Semiurban,Y,1,2957.0,4.394449154672439,7.9919305198524775,0.027392627663172135
LP001439,Male,Yes,0,Not Graduate,No,4300,2014.0,194.0,360.0,1.0,Rural,Y,1,6314.0,5.267858159063328,8.750524669117937,0.030725372188786824
LP001443,Female,No,0,Graduate,No,3692,0.0,93.0,360.0,1.0,Rural,Y,1,3692.0,4.532599493153256,8.213923595622743,0.025189599133261104
LP001448,Male,Yes,3+,Graduate,No,23803,0.0,370.0,360.0,1.0,Rural,Y,1,23803.0,5.91350300563827,10.077566902136047,0.015544259127000798
LP001449,Male,No,0,Graduate,No,3865,1640.0,128.0,360.0,1.0,Rural,Y,1,5505.0,4.852030263919617,8.61341204915678,0.023251589464123524
LP001451,Male,Yes,1,Graduate,Yes,10513,3850.0,160.0,180.0,0.0,Urban,N,0,14363.0,5.075173815233827,9.572410734431823,0.011139734038849823
LP001465,Male,Yes,0,Graduate,No,6080,2569.0,182.0,360.0,1.0,Rural,N,0,8649.0,5.204006687076795,9.065198986306513,0.021042895132385248
LP001469,Male,No,0,Graduate,Yes,20166,0.0,650.0,480.0,1.0,Urban,Y,1,20166.0,6.476972362889683,9.91175329695316,0.03223247049489239
LP001473,Male,No,0,Graduate,No,2014,1929.0,74.0,360.0,1.0,Urban,Y,1,3943.0,4.30406509320417,8.279697133877628,0.018767435962465127
LP001478,Male,No,0,Graduate,No,2718,0.0,70.0,360.0,1.0,Semiurban,Y,1,2718.0,4.248495242049359,7.907651594711089,0.025754231052244298
LP001482,Male,Yes,0,Graduate,Yes,3459,0.0,25.0,120.0,1.0,Semiurban,Y,1,3459.0,3.2188758248682006,8.148734808937169,0.007227522405319456
LP001487,Male,No,0,Graduate,No,4895,0.0,102.0,360.0,1.0,Semiurban,Y,1,4895.0,4.624972813284271,8.49596955496461,0.020837589376915218
LP001488,Male,Yes,3+,Graduate,No,4000,7750.0,290.0,360.0,1.0,Semiurban,N,0,11750.0,5.66988092298052,9.371608519572305,0.02468085106382979
LP001489,Female,Yes,0,Graduate,No,4583,0.0,84.0,360.0,1.0,Rural,N,0,4583.0,4.430816798843313,8.430109084509125,0.0183286057167794
LP001491,Male,Yes,2,Graduate,Yes,3316,3500.0,88.0,360.0,1.0,Urban,Y,1,6816.0,4.477336814478207,8.827028068509152,0.012910798122065728
LP001492,Male,No,0,Graduate,No,14999,0.0,242.0,360.0,0.0,Semiurban,N,0,14999.0,5.488937726156687,9.61573881119536,0.016134408960597372
LP001493,Male,Yes,2,Not Graduate,No,4200,1430.0,129.0,360.0,1.0,Rural,N,0,5630.0,4.859812404361672,8.635864721133736,0.022912966252220248
LP001497,Male,Yes,2,Graduate,No,5042,2083.0,185.0,360.0,1.0,Rural,N,0,7125.0,5.220355825078324,8.871365005136852,0.025964912280701753
LP001498,Male,No,0,Graduate,No,5417,0.0,168.0,360.0,1.0,Urban,Y,1,5417.0,5.123963979403259,8.597297435657898,0.031013476093778844
LP001504,Male,No,0,Graduate,Yes,6950,0.0,175.0,180.0,1.0,Semiurban,Y,1,6950.0,5.1647859739235145,8.846496938558838,0.025179856115107913
LP001507,Male,Yes,0,Graduate,No,2698,2034.0,122.0,360.0,1.0,Semiurban,Y,1,4732.0,4.804021044733257,8.462103225098277,0.02578191039729501
LP001508,Male,Yes,2,Graduate,No,11757,0.0,187.0,180.0,1.0,Urban,Y,1,11757.0,5.231108616854587,9.372204086867741,0.01590541804882198
LP001514,Female,Yes,0,Graduate,No,2330,4486.0,100.0,360.0,1.0,Semiurban,Y,1,6816.0,4.605170185988092,8.827028068509152,0.014671361502347418
LP001516,Female,Yes,2,Graduate,No,14866,0.0,70.0,360.0,1.0,Urban,Y,1,14866.0,4.248495242049359,9.60683200528524,0.0047087313332436435
LP001518,Male,Yes,1,Graduate,No,1538,1425.0,30.0,360.0,1.0,Urban,Y,1,2963.0,3.4011973816621555,7.993957547573565,0.010124873439082012
LP001519,Female,No,0,Graduate,No,10000,1666.0,225.0,360.0,1.0,Rural,N,0,11666.0,5.41610040220442,9.364433907313582,0.019286816389507973
LP001520,Male,Yes,0,Graduate,No,4860,830.0,125.0,360.0,1.0,Semiurban,Y,1,5690.0,4.8283137373023015,8.646465527120377,0.021968365553602813
LP001528,Male,No,0,Graduate,No,6277,0.0,118.0,360.0,0.0,Rural,N,0,6277.0,4.770684624465665,8.744647438317532,0.018798789230524134
